 INFO  Accepting connections at http://localhost:3000
 HTTP  2/26/2026 1:12:50 AM ::1 GET /restaurantapp.html
 HTTP  2/26/2026 1:12:50 AM ::1 Returned 301 in 1 ms
 HTTP  2/26/2026 1:12:50 AM ::1 GET /restaurantapp
 HTTP  2/26/2026 1:12:50 AM ::1 Returned 200 in 0 ms
 HTTP  2/26/2026 1:12:50 AM ::1 GET /assets/css/pastel-theme.css
 HTTP  2/26/2026 1:12:50 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:12:50 AM ::1 GET /assets/js/directory_data.js
 HTTP  2/26/2026 1:12:50 AM ::1 GET /assets/js/theme.js
 HTTP  2/26/2026 1:12:50 AM ::1 GET /assets/js/supabase_logic.js
 HTTP  2/26/2026 1:12:50 AM ::1 GET /assets/js/directory_logic.js
 HTTP  2/26/2026 1:12:50 AM ::1 GET /instalarapp.js
 HTTP  2/26/2026 1:12:50 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:12:50 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:12:50 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:12:50 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:12:50 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:12:51 AM ::1 GET /sw.js
 HTTP  2/26/2026 1:12:51 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:10 AM ::1 GET /restaurantapp.html
 HTTP  2/26/2026 1:13:10 AM ::1 Returned 301 in 0 ms
 HTTP  2/26/2026 1:13:10 AM ::1 GET /restaurantapp
 HTTP  2/26/2026 1:13:10 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:10 AM ::1 GET /assets/css/pastel-theme.css
 HTTP  2/26/2026 1:13:10 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:10 AM ::1 GET /assets/js/directory_data.js
 HTTP  2/26/2026 1:13:10 AM ::1 GET /assets/js/theme.js
 HTTP  2/26/2026 1:13:10 AM ::1 GET /assets/js/supabase_logic.js
 HTTP  2/26/2026 1:13:10 AM ::1 Returned 200 in 3 ms
 HTTP  2/26/2026 1:13:10 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:10 AM ::1 GET /assets/js/directory_logic.js
 HTTP  2/26/2026 1:13:10 AM ::1 GET /instalarapp.js
 HTTP  2/26/2026 1:13:10 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:10 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:10 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:11 AM ::1 GET /sw.js
 HTTP  2/26/2026 1:13:11 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /restaurantapp.html
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 301 in 1 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /restaurantapp
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /assets/css/pastel-theme.css
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /assets/js/directory_data.js
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /assets/js/theme.js
 HTTP  2/26/2026 1:13:24 AM ::1 GET /assets/js/supabase_logic.js
 HTTP  2/26/2026 1:13:24 AM ::1 GET /assets/js/directory_logic.js
 HTTP  2/26/2026 1:13:24 AM ::1 GET /instalarapp.js
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 200 in 3 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /sw.js
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /directorymap.html
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 301 in 1 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /directorymap
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /assets/css/pastel-theme.css
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 304 in 1 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /assets/js/directory_data.js
 HTTP  2/26/2026 1:13:24 AM ::1 GET /assets/js/theme.js
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 304 in 1 ms
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 304 in 1 ms
 HTTP  2/26/2026 1:13:24 AM ::1 GET /assets/js/supabase_logic.js
 HTTP  2/26/2026 1:13:24 AM ::1 Returned 304 in 1 ms
 HTTP  2/26/2026 1:13:40 AM ::1 GET /restaurantapp.html
 HTTP  2/26/2026 1:13:40 AM ::1 Returned 301 in 0 ms
 HTTP  2/26/2026 1:13:40 AM ::1 GET /restaurantapp
 HTTP  2/26/2026 1:13:40 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:40 AM ::1 GET /assets/css/pastel-theme.css
 HTTP  2/26/2026 1:13:40 AM ::1 Returned 200 in 3 ms
 HTTP  2/26/2026 1:13:40 AM ::1 GET /assets/js/directory_data.js
 HTTP  2/26/2026 1:13:40 AM ::1 GET /assets/js/theme.js
 HTTP  2/26/2026 1:13:40 AM ::1 GET /assets/js/supabase_logic.js
 HTTP  2/26/2026 1:13:40 AM ::1 GET /assets/js/directory_logic.js
 HTTP  2/26/2026 1:13:40 AM ::1 GET /instalarapp.js
 HTTP  2/26/2026 1:13:40 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:40 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:40 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:40 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:40 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:41 AM ::1 GET /sw.js
 HTTP  2/26/2026 1:13:41 AM ::1 Returned 200 in 2 ms
 HTTP  2/26/2026 1:13:41 AM ::1 GET /directorymap.html
 HTTP  2/26/2026 1:13:41 AM ::1 Returned 301 in 0 ms
 HTTP  2/26/2026 1:13:41 AM ::1 GET /directorymap
 HTTP  2/26/2026 1:13:41 AM ::1 Returned 200 in 1 ms
 HTTP  2/26/2026 1:13:41 AM ::1 GET /assets/css/pastel-theme.css
 HTTP  2/26/2026 1:13:41 AM ::1 Returned 304 in 1 ms
 HTTP  2/26/2026 1:13:41 AM ::1 GET /assets/js/directory_data.js
 HTTP  2/26/2026 1:13:41 AM ::1 GET /assets/js/theme.js
 HTTP  2/26/2026 1:13:41 AM ::1 Returned 304 in 2 ms
 HTTP  2/26/2026 1:13:41 AM ::1 Returned 304 in 1 ms
 HTTP  2/26/2026 1:13:41 AM ::1 GET /assets/js/supabase_logic.js
 HTTP  2/26/2026 1:13:41 AM ::1 Returned 304 in 3 ms
